Key,year,month,day_of_month,full_date,time_of_game,away_team_name,away_team_league,home_team_name,home_team_league
321,2016,04,27,04/27/2016,07:40 PM,Pirates,NL,Rockies,NL
322,2016,04,27,04/27/2016,08:40 PM,Cardinals,NL,Diamondbacks,NL
323,2016,04,27,04/27/2016,09:05 PM,Royals,AL,Angels,AL
324,2016,04,27,04/27/2016,09:10 PM,Marlins,NL,Dodgers,NL
325,2016,04,27,04/27/2016,09:10 PM,Astros,AL,Mariners,AL
326,2016,04,28,04/28/2016,01:20 PM,Brewers,NL,Cubs,NL
327,2016,04,28,04/28/2016,02:10 PM,Pirates,NL,Rockies,NL
328,2016,04,28,04/28/2016,03:05 PM,Phillies,NL,Nationals,NL
329,2016,04,28,04/28/2016,06:05 PM,White Sox,AL,Orioles,AL
330,2016,04,28,04/28/2016,06:10 PM,Braves,NL,Red Sox,AL
331,2016,04,28,04/28/2016,08:40 PM,Cardinals,NL,Diamondbacks,NL
332,2016,04,28,04/28/2016,09:10 PM,Marlins,NL,Dodgers,NL
333,2016,04,28,04/28/2016,12:10 PM,Athletics,AL,Tigers,AL
334,2016,04,29,04/29/2016,01:20 PM,Braves,NL,Cubs,NL
335,2016,04,29,04/29/2016,06:05 PM,White Sox,AL,Orioles,AL
336,2016,04,29,04/29/2016,06:05 PM,Indians,AL,Phillies,NL
337,2016,04,29,04/29/2016,06:05 PM,Reds,NL,Pirates,NL
338,2016,04,29,04/29/2016,06:10 PM,Giants,NL,Mets,NL
339,2016,04,29,04/29/2016,06:10 PM,Blue Jays,AL,Rays,AL
340,2016,04,29,04/29/2016,06:10 PM,Yankees,AL,Red Sox,AL
341,2016,04,29,04/29/2016,07:05 PM,Angels,AL,Rangers,AL
342,2016,04,29,04/29/2016,07:10 PM,Marlins,NL,Brewers,NL
343,2016,04,29,04/29/2016,07:10 PM,Tigers,AL,Twins,AL
344,2016,04,29,04/29/2016,07:15 PM,Nationals,NL,Cardinals,NL
345,2016,04,29,04/29/2016,08:40 PM,Rockies,NL,Diamondbacks,NL
346,2016,04,29,04/29/2016,09:05 PM,Astros,AL,Athletics,AL
