playername|playerid
Jason Berken|5673.0
P.J. Walters|9557.0
Ryan Perry|8799.0
Andrew Schugel|11432.0
Miles Mikolas|9803.0
Eric Jokisch|11157.0
Christopher Rearick|11050.0
Shairon Martis|6781.0
David Huff|4257.0
Alex Meyer|12833.0
Brandon Cunniff|11509.0
Juan Oviedo|2886.0
Logan Darnell|11261.0
George Sherrill|6291.0
Tommy Hottovy|7542.0
Manny Banuelos|5365.0
Kyle Waldrop|7513.0
Joe Savery|2835.0
Daniel Stange|9404.0
Jose Valdez|14470.0
Caleb Cotham|10075.0
Gus Schlosser|12321.0
Brian Flynn|12027.0
Sean Nolin|11341.0
Matt Daley|7952.0
Nick Greenwood|8182.0
Lendy Castillo|11562.0
Dave Bush|4635.0
Donovan Hand|8728.0
Andrew Carpenter|9533.0
Yunesky Maya|11420.0
Jorge Rondon|5791.0
Aaron Brooks|12272.0
Donn Roach|10620.0
Randy Wells|4535.0
Colt Hynes|7560.0
Jake Buchanan|10962.0
Josh Smith|10946.0
Clayton Richard|3551.0
Ryan Dennick|9261.0
Samuel Tuivailala|13485.0
Joba Chamberlain|2692.0
Brad Lidge|563.0
Shane Loux|1613.0
Kevin Chapman|11240.0
Bryan Price|8436.0
Brett Marshall|5364.0
Mitchell Boggs|3344.0
Chris Resop|3799.0
Eury De la Rosa|4055.0
Josh Ravin|2951.0
J.R. Graham|12042.0
Radhames Liz|5843.0
Kyle Weiland|7874.0
Jeremy Bonderman|1667.0
Kyle Drabek|4359.0
Jacob Lindgren|16215.0
Sean Henn|2147.0
Chin-hui Tsao|1776.0
Jairo Asencio|3332.0
Chris Carpenter|8556.0
Evan Crawford|7249.0
C.J. Riefenhauser|11193.0
Miguel Castro|15684.0
Jeff Suppan|633.0
Andrew Bailey|1368.0
Noe Ramirez|12800.0
Nick Maronde|12530.0
Burch Smith|12784.0
Jon Edwards|1483.0
Takashi Saito|6021.0
Matt Guerrier|2061.0
Luis Garcia|6984.0
Nick Christiani|10332.0
Ryan Dull|13974.0
Bo Schultz|5028.0
Graham Godfrey|3128.0
Peter Moylan|4891.0
Chance Ruffin|11745.0
Josh Stinson|3219.0
Adam Wilk|8421.0
Aaron Crow|10149.0
Victor Marte|5158.0
Darnell McDonald|1867.0
Jake Dunning|10803.0
Kerry Wood|304.0
Mitchell Harris|4530.0
Deolis Guerra|8410.0
Jose Ramirez|10171.0
Keith Hessler|12220.0
Sugar Marimon|6027.0
J.C. Romero|754.0
Adam Loewen|2134.0
Guido Knudson|12669.0
Ramon Troncoso|4685.0
